,domain,bias_rating,category,mbfc_ideo,ave_m,ave_m_log10,donation,donation_adj,len_of_content,content,link,cleaned_rating,side,sep_side
140,rawstory.com,left,left,-1.0,18426666.0,7.265446787502750,0,0,1,unknown,unknown,left,left,left
141,vulture.com,left-center,leftcenter,-1.0,18146666.0,7.258796869789120,0,0,1,unknown,unknown,left center,left,left center
142,techcrunch.com,left-center,leftcenter,-1.0,18123333.0,7.258238094257570,0,0,1,unknown,unknown,left center,left,left center
143,wired.com,left-center,leftcenter,-1.0,17656666.0,7.246908726414810,0,0,1,unknown,unknown,left center,left,left center
144,ew.com,left-center,leftcenter,-1.0,17418409.0,7.241008508895420,0,0,1,unknown,unknown,left center,left,left center
145,euronews.com,left-center,leftcenter,-1.0,16726666.0,7.223409410913660,0,0,1,unknown,unknown,left center,left,left center
146,dailykos.com,left,left,-1.0,16596666.0,7.220020880278320,1,1,2,donate today,unknown,left,left,left
147,walesonline.co.uk,left-center,leftcenter,-1.0,16510000.000000000,7.217747073262790,0,0,1,unknown,unknown,left center,left,left center
148,irishtimes.com,left-center,leftcenter,-1.0,16450000.0,7.216165928686870,0,0,1,unknown,unknown,left center,left,left center
149,theage.com.au,left-center,leftcenter,-1.0,15940000.0,7.202488344305670,0,0,1,unknown,unknown,left center,left,left center
150,washingtonpost.com,left-center,leftcenter,-1.0,15920000.0,7.20194306340165,0,0,1,unknown,unknown,left center,left,left center
151,thebalance.com,least biased,center,0.0,15796666.0,7.198565463144000,0,0,1,unknown,unknown,unknown,unknown,unknown
152,theringer.com,left-center,leftcenter,-1.0,15406666.0,7.187708695819670,0,0,1,unknown,unknown,left center,left,left center
153,snopes.com,left-center,leftcenter,-1.0,15286666.0,7.184312805144260,0,0,1,unknown,unknown,left center,left,left center
154,dawn.com,left-center,leftcenter,-1.0,15276666.0,7.184028612001330,0,0,1,unknown,unknown,left center,left,left center
155,nymag.com,left,left,-1.0,15153333.0,7.180508195775950,0,0,1,unknown,unknown,left,left,left
156,inquirer.net,left-center,leftcenter,-1.0,15070000.0,7.17811328113311,0,0,1,unknown,unknown,left center,left,left center
157,entrepreneur.com,right-center,right-center,1.0,14568909.0,7.1634270604389500,0,0,1,unknown,unknown,right center,right,right center
158,qz.com,left-center,leftcenter,-1.0,14503333.0,7.161467848536030,1,1,2,support us,unknown,left center,left,left center
159,theglobeandmail.com,right-center,right-center,1.0,14480000.0,7.16076859185384,0,0,1,unknown,unknown,right center,right,right center
160,mentalfloss.com,unknown,center,0.0,14413333.0,7.158764450649240,0,0,1,unknown,unknown,unknown,unknown,unknown
161,dailycaller.com,right,right,1.0,14410000.0,7.158664010952400,failed,failed,1,unknown,unknown,right,right,right
162,theroot.com,left,left,-1.0,14366666.0,7.157356025517510,0,0,1,unknown,unknown,left,left,left
163,financialexpress.com,right-center,right-center,1.0,14210000.0,7.152594108490060,0,0,1,unknown,unknown,right center,right,right center
164,jezebel.com,left,left,-1.0,14036666.0,7.147263997013940,failed,failed,1,unknown,unknown,left,left,left
165,vanityfair.com,left,left,-1.0,13893333.0,7.142806476411270,0,0,1,unknown,unknown,left,left,left
166,thegatewaypundit.com,extreme right,fake-news,1.0,13793333.0,7.139669252600600,1,1,1,donate,https://www.thegatewaypundit.com/donate/,far right,right,far right
167,inc.com,least biased,center,0.0,13650000.0,7.135132651376780,0,0,1,unknown,unknown,unknown,unknown,unknown
168,volkskrant.nl,right-center,right-center,1.0,13170000.0,7.119585807937830,0,0,1,unknown,unknown,right center,right,right center
169,cracked.com,left leaning satire,satire,-1.0,13140000.0,7.118595398275090,0,0,1,unknown,unknown,left satire,left,left
170,rd.com,right,right,1.0,13030000.0,7.114944449042940,0,0,1,unknown,unknown,right,right,right
171,barrons.com,right-center,right-center,1.0,12963690.0,7.112728670725320,0,0,1,unknown,unknown,right center,right,right center
172,birminghammail.co.uk,left-center,leftcenter,-1.0,12913333.0,7.111038384084410,0,0,1,unknown,unknown,left center,left,left center
173,salon.com,left,left,-1.0,12883333.0,7.110028266007880,0,0,1,unknown,unknown,left,left,left
174,theepochtimes.com,right,fake-news,1.0,12596666.0,7.100255648689660,1,1,3,make a donation,https://checkout.theepochtimes.com/p/?page=donation&utm_source=makeadonationtop,right,right,right
175,uproxx.com,left,left,-1.0,12520000.0,7.097604363562470,0,0,1,unknown,unknown,left,left,left
176,gulfnews.com,right,fake-news,1.0,12480000.0,7.096214620145640,0,0,1,unknown,unknown,right,right,right
177,thrillist.com,left-center,leftcenter,-1.0,12340000.0,7.091315159697220,0,0,1,unknown,unknown,left center,left,left center
178,freep.com,left-center,leftcenter,-1.0,12193333.0,7.086122470165650,0,0,1,unknown,unknown,left center,left,left center
179,oregonlive.com,least biased,center,0.0,12166666.0,7.085171621635290,0,0,1,unknown,unknown,unknown,unknown,unknown
180,zdnet.com,least biased,center,0.0,12072632.0,7.081801998570040,0,0,1,unknown,unknown,unknown,unknown,unknown
181,health.com,left-center,leftcenter,-1.0,11910000.0,7.075911797947470,0,0,1,unknown,unknown,left center,left,left center
182,townhall.com,right,fake-news,1.0,11703333.0,7.068309599484760,0,0,1,unknown,unknown,right,right,right
183,mercurynews.com,left-center,leftcenter,-1.0,11476666.0,7.05981578059885,0,0,1,unknown,unknown,left center,left,left center
184,mlive.com,least biased,center,0.0,11420000.0,7.057666141939120,0,0,1,unknown,unknown,unknown,unknown,unknown
185,nationalpost.com,right-center,right-center,1.0,11336666.0,7.054485389982670,0,0,1,unknown,unknown,right center,right,right center
186,voanews.com,least biased,center,0.0,11260000.0,7.051538429085000,0,0,1,unknown,unknown,unknown,unknown,unknown
187,thestar.com,left-center,leftcenter,-1.0,11223333.0,7.050121887465540,0,0,1,unknown,unknown,left center,left,left center
188,detroitnews.com,right-center,right-center,1.0,11160000.0,7.04766419460156,0,0,1,unknown,unknown,right center,right,right center
